,timestamp,pilot,target,shiptype,module_or_ammo,dmg,hit_quality
2563,2023-02-01 23:13:12,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,84,Smashes
2564,2023-02-01 23:13:12,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,57,Hits
2565,2023-02-01 23:13:12,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,204,Wrecks
2566,2023-02-01 23:13:13,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,4239,Smashes
2567,2023-02-01 23:13:13,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,42,Grazes
2568,2023-02-01 23:13:13,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,35,Grazes
2569,2023-02-01 23:13:15,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,3146,Hits
2570,2023-02-01 23:13:16,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,92,Smashes
2571,2023-02-01 23:13:16,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,94,Smashes
2572,2023-02-01 23:13:16,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,95,Smashes
2573,2023-02-01 23:13:17,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,56,Hits
2574,2023-02-01 23:13:17,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,80,Penetrates
2575,2023-02-01 23:13:18,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,2946,Hits
2576,2023-02-01 23:13:20,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,83,Penetrates
2577,2023-02-01 23:13:20,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,66,Hits
2578,2023-02-01 23:13:20,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,87,Smashes
2579,2023-02-01 23:13:21,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,2565,Hits
2580,2023-02-01 23:13:21,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,80,Penetrates
2581,2023-02-01 23:13:21,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,80,Penetrates
2582,2023-02-01 23:13:23,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,2642,Hits
2583,2023-02-01 23:13:24,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,83,Penetrates
2584,2023-02-01 23:13:24,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,100,Smashes
2585,2023-02-01 23:13:24,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,63,Hits
2586,2023-02-01 23:13:25,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,44,Glances Off
2587,2023-02-01 23:13:25,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,67,Hits
2588,2023-02-01 23:13:26,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,3651,Penetrates
2589,2023-02-01 23:13:28,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,3334,Hits
2590,2023-02-01 23:13:28,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,36,Grazes
2591,2023-02-01 23:13:28,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,73,Penetrates
2592,2023-02-01 23:13:28,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,42,Glances Off
2593,2023-02-01 23:13:29,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,86,Smashes
2594,2023-02-01 23:13:29,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,71,Penetrates
2595,2023-02-01 23:13:31,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,3878,Penetrates
2596,2023-02-01 23:13:32,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,49,Glances Off
2597,2023-02-01 23:13:32,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,87,Smashes
2598,2023-02-01 23:13:32,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,63,Hits
2599,2023-02-01 23:13:33,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,70,Penetrates
2600,2023-02-01 23:13:33,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,75,Penetrates
2601,2023-02-01 23:13:33,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,2758,Hits
2602,2023-02-01 23:13:36,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,5823,Smashes
2603,2023-02-01 23:13:36,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,61,Hits
2604,2023-02-01 23:13:36,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,53,Hits
2605,2023-02-01 23:13:36,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,41,Grazes
2606,2023-02-01 23:13:37,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,50,Glances Off
2607,2023-02-01 23:13:37,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,54,Hits
2608,2023-02-01 23:13:38,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,3322,Hits
2609,2023-02-01 23:13:40,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,99,Smashes
2610,2023-02-01 23:13:40,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,98,Smashes
2611,2023-02-01 23:13:40,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,66,Hits
2612,2023-02-01 23:13:41,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,3373,Penetrates
2613,2023-02-01 23:13:41,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,51,Glances Off
2614,2023-02-01 23:13:41,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,94,Smashes
2615,2023-02-01 23:13:44,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,3510,Penetrates
2616,2023-02-01 23:13:44,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,37,Grazes
2617,2023-02-01 23:13:44,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,51,Glances Off
2618,2023-02-01 23:13:44,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,50,Glances Off
2619,2023-02-01 23:13:45,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,82,Penetrates
2620,2023-02-01 23:13:45,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,54,Hits
2621,2023-02-01 23:13:46,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,3360,Hits
2622,2023-02-01 23:13:48,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,85,Smashes
2623,2023-02-01 23:13:48,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,93,Smashes
2624,2023-02-01 23:13:48,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,70,Penetrates
2625,2023-02-01 23:13:49,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,4157,Penetrates
2626,2023-02-01 23:13:49,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,76,Penetrates
2627,2023-02-01 23:13:49,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,97,Smashes
2628,2023-02-01 23:13:51,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,3829,Penetrates
2629,2023-02-01 23:13:52,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,72,Penetrates
2630,2023-02-01 23:13:52,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,68,Penetrates
2631,2023-02-01 23:13:52,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,100,Smashes
2632,2023-02-01 23:13:53,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,79,Penetrates
2633,2023-02-01 23:13:53,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,58,Hits
2634,2023-02-01 23:13:54,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,3791,Penetrates
2635,2023-02-01 23:13:56,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,3127,Hits
2636,2023-02-01 23:13:56,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,70,Penetrates
2637,2023-02-01 23:13:56,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,34,Grazes
2638,2023-02-01 23:13:56,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,47,Glances Off
2639,2023-02-01 23:13:57,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,62,Hits
2640,2023-02-01 23:13:57,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,94,Smashes
2641,2023-02-01 23:13:59,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,2792,Hits
2642,2023-02-01 23:14:00,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,39,Grazes
2643,2023-02-01 23:14:00,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,91,Smashes
2644,2023-02-01 23:14:00,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,57,Hits
2645,2023-02-01 23:14:01,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,42,Grazes
2646,2023-02-01 23:14:01,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,34,Grazes
2647,2023-02-01 23:14:01,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,4263,Smashes
2648,2023-02-01 23:14:04,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,3169,Hits
2649,2023-02-01 23:14:04,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,48,Glances Off
2650,2023-02-01 23:14:04,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,46,Glances Off
2651,2023-02-01 23:14:04,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,69,Penetrates
2652,2023-02-01 23:14:05,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,48,Glances Off
2653,2023-02-01 23:14:05,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,53,Hits
2654,2023-02-01 23:14:06,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,3944,Penetrates
2655,2023-02-01 23:14:08,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,39,Grazes
2656,2023-02-01 23:14:08,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,66,Hits
2657,2023-02-01 23:14:08,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,39,Grazes
2658,2023-02-01 23:14:09,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,3556,Penetrates
2659,2023-02-01 23:14:09,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,42,Glances Off
2660,2023-02-01 23:14:09,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,67,Hits
2661,2023-02-01 23:14:12,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,3504,Penetrates
2662,2023-02-01 23:14:12,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,53,Hits
2663,2023-02-01 23:14:12,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,49,Glances Off
2664,2023-02-01 23:14:12,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,79,Penetrates
2665,2023-02-01 23:14:13,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,47,Glances Off
2666,2023-02-01 23:14:13,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,97,Smashes
2667,2023-02-01 23:14:14,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,2850,Hits
2668,2023-02-01 23:14:16,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,73,Penetrates
2669,2023-02-01 23:14:16,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,48,Glances Off
2670,2023-02-01 23:14:16,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,43,Glances Off
2671,2023-02-01 23:14:17,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,3222,Hits
2672,2023-02-01 23:14:17,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,45,Glances Off
2673,2023-02-01 23:14:17,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,101,Smashes
2674,2023-02-01 23:14:19,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,3551,Penetrates
2675,2023-02-01 23:14:20,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,86,Smashes
2676,2023-02-01 23:14:20,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,59,Hits
2677,2023-02-01 23:14:20,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,98,Smashes
2678,2023-02-01 23:14:21,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,73,Penetrates
2679,2023-02-01 23:14:21,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,61,Hits
2680,2023-02-01 23:14:22,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,3565,Penetrates
2681,2023-02-01 23:14:24,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,4569,Smashes
2682,2023-02-01 23:14:24,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,90,Smashes
2683,2023-02-01 23:14:24,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,34,Grazes
2684,2023-02-01 23:14:24,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,80,Penetrates
2685,2023-02-01 23:14:25,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,40,Grazes
2686,2023-02-01 23:14:25,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,48,Glances Off
2687,2023-02-01 23:14:27,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,3244,Hits
2688,2023-02-01 23:14:28,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,51,Hits
2689,2023-02-01 23:14:28,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,37,Grazes
2690,2023-02-01 23:14:28,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,74,Penetrates
2691,2023-02-01 23:14:29,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,55,Hits
2692,2023-02-01 23:14:29,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,62,Hits
2693,2023-02-01 23:14:29,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,2788,Hits
2694,2023-02-01 23:14:32,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,3820,Penetrates
2695,2023-02-01 23:14:32,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,78,Penetrates
2696,2023-02-01 23:14:32,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,85,Penetrates
2697,2023-02-01 23:14:32,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,52,Hits
2698,2023-02-01 23:14:33,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,67,Hits
2699,2023-02-01 23:14:33,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,74,Penetrates
2700,2023-02-01 23:14:35,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,4072,Penetrates
2701,2023-02-01 23:14:36,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,58,Hits
2702,2023-02-01 23:14:36,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,90,Smashes
2703,2023-02-01 23:14:36,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,54,Hits
2704,2023-02-01 23:14:37,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,3411,Penetrates
2705,2023-02-01 23:14:37,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,88,Smashes
2706,2023-02-01 23:14:37,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,47,Glances Off
2707,2023-02-01 23:14:40,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,3987,Penetrates
2708,2023-02-01 23:14:40,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,204,Wrecks
2709,2023-02-01 23:14:40,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,47,Glances Off
2710,2023-02-01 23:14:40,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,89,Smashes
2711,2023-02-01 23:14:41,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,42,Grazes
2712,2023-02-01 23:14:41,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,57,Hits
2713,2023-02-01 23:14:42,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,3172,Hits
2715,2023-02-01 23:14:45,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,50,Glances Off
2716,2023-02-01 23:14:45,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,94,Smashes
2717,2023-02-01 23:14:45,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,44,Glances Off
2718,2023-02-01 23:14:45,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,3243,Hits
2719,2023-02-01 23:14:45,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,99,Smashes
2720,2023-02-01 23:14:45,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,46,Glances Off
2721,2023-02-01 23:14:47,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,3979,Penetrates
2722,2023-02-01 23:14:49,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,70,Penetrates
2723,2023-02-01 23:14:49,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,46,Glances Off
2724,2023-02-01 23:14:49,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,37,Grazes
2725,2023-02-01 23:14:49,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,38,Grazes
2726,2023-02-01 23:14:49,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,85,Penetrates
2727,2023-02-01 23:14:50,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,2455,Glances Off
2728,2023-02-01 23:14:52,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,3520,Penetrates
2729,2023-02-01 23:14:53,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,91,Smashes
2730,2023-02-01 23:14:53,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,47,Glances Off
2731,2023-02-01 23:14:53,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,66,Hits
2732,2023-02-01 23:14:53,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,72,Penetrates
2733,2023-02-01 23:14:53,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,56,Hits
2734,2023-02-01 23:14:55,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,3644,Penetrates
2735,2023-02-01 23:14:57,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,65,Hits
2736,2023-02-01 23:14:57,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,51,Hits
2737,2023-02-01 23:14:57,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,100,Smashes
2738,2023-02-01 23:14:57,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,101,Smashes
2739,2023-02-01 23:14:57,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,84,Penetrates
2740,2023-02-01 23:14:58,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,3506,Penetrates
2741,2023-02-01 23:15:00,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,2779,Hits
2742,2023-02-01 23:15:01,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,56,Hits
2743,2023-02-01 23:15:01,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,51,Glances Off
2744,2023-02-01 23:15:01,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,56,Hits
2745,2023-02-01 23:15:01,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,37,Grazes
2746,2023-02-01 23:15:01,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,88,Smashes
2747,2023-02-01 23:15:03,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,3219,Hits
2748,2023-02-01 23:15:05,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,55,Hits
2749,2023-02-01 23:15:05,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,48,Glances Off
2750,2023-02-01 23:15:05,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,70,Penetrates
2751,2023-02-01 23:15:05,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,3264,Hits
2752,2023-02-01 23:15:05,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,98,Smashes
2753,2023-02-01 23:15:05,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,41,Grazes
2754,2023-02-01 23:15:09,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,2203,Glances Off
2755,2023-02-01 23:15:09,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,69,Penetrates
2756,2023-02-01 23:15:09,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,73,Penetrates
2757,2023-02-01 23:15:09,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,50,Glances Off
2758,2023-02-01 23:15:09,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,38,Grazes
2759,2023-02-01 23:15:09,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,92,Smashes
2760,2023-02-01 23:15:10,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,3194,Hits
2761,2023-02-01 23:15:13,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,34,Grazes
2762,2023-02-01 23:15:13,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,89,Smashes
2763,2023-02-01 23:15:13,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,61,Hits
2764,2023-02-01 23:15:13,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,4526,Smashes
2765,2023-02-01 23:15:13,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,66,Hits
2766,2023-02-01 23:15:13,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,35,Grazes
2767,2023-02-01 23:15:15,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,3622,Penetrates
2768,2023-02-01 23:15:17,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,83,Penetrates
2769,2023-02-01 23:15:17,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,59,Hits
2770,2023-02-01 23:15:17,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,35,Grazes
2771,2023-02-01 23:15:17,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,94,Smashes
2772,2023-02-01 23:15:17,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,36,Grazes
2773,2023-02-01 23:15:18,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,3017,Hits
2774,2023-02-01 23:15:21,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Mega Pulse Laser II,3416,Penetrates
2775,2023-02-01 23:15:21,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,39,Grazes
2776,2023-02-01 23:15:21,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,83,Penetrates
2777,2023-02-01 23:15:21,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,97,Smashes
2778,2023-02-01 23:15:21,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,35,Grazes
2779,2023-02-01 23:15:21,Dravynea Uta,Arithmos Tyrannos,Arithmos Tyrannos,Acolyte II,67,Hits
