,timestamp,pilot,target,shiptype,module_or_ammo,dmg,hit_quality
288,2023-02-23 15:54:19,Dravynea Uta,Awakened Defender,Awakened Defender,Neutron Blaster Cannon II,715,Grazes
289,2023-02-23 15:54:24,Dravynea Uta,Awakened Defender,Awakened Defender,Neutron Blaster Cannon II,1241,Hits
290,2023-02-23 15:54:30,Dravynea Uta,Awakened Defender,Awakened Defender,Neutron Blaster Cannon II,1608,Penetrates
291,2023-02-23 15:54:35,Dravynea Uta,Awakened Defender,Awakened Defender,Neutron Blaster Cannon II,1211,Hits
292,2023-02-23 15:54:41,Dravynea Uta,Awakened Defender,Awakened Defender,Neutron Blaster Cannon II,3672,Penetrates
306,2023-02-23 15:55:38,Dravynea Uta,Sleepless Preserver,Sleepless Preserver,Neutron Blaster Cannon II,1297,Hits
309,2023-02-23 15:55:44,Dravynea Uta,Sleepless Preserver,Sleepless Preserver,Neutron Blaster Cannon II,1552,Hits
311,2023-02-23 15:55:49,Dravynea Uta,Sleepless Preserver,Sleepless Preserver,Neutron Blaster Cannon II,996,Grazes
313,2023-02-23 15:55:55,Dravynea Uta,Sleepless Preserver,Sleepless Preserver,Neutron Blaster Cannon II,840,Grazes
315,2023-02-23 15:56:00,Dravynea Uta,Sleepless Preserver,Sleepless Preserver,Neutron Blaster Cannon II,1557,Hits
317,2023-02-23 15:56:06,Dravynea Uta,Sleepless Preserver,Sleepless Preserver,Neutron Blaster Cannon II,1431,Hits
319,2023-02-23 15:56:11,Dravynea Uta,Sleepless Preserver,Sleepless Preserver,Neutron Blaster Cannon II,1366,Hits
321,2023-02-23 15:56:17,Dravynea Uta,Sleepless Preserver,Sleepless Preserver,Neutron Blaster Cannon II,1597,Hits
323,2023-02-23 15:56:22,Dravynea Uta,Sleepless Preserver,Sleepless Preserver,Neutron Blaster Cannon II,1569,Hits
325,2023-02-23 15:56:28,Dravynea Uta,Sleepless Preserver,Sleepless Preserver,Neutron Blaster Cannon II,3255,Penetrates
1323,2023-02-23 16:36:20,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,262,Penetrates
1324,2023-02-23 16:36:20,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,312,Smashes
1325,2023-02-23 16:36:20,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,251,Penetrates
1326,2023-02-23 16:36:20,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,157,Glances Off
1327,2023-02-23 16:36:20,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,165,Glances Off
1329,2023-02-23 16:36:24,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,168,Glances Off
1330,2023-02-23 16:36:24,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,288,Smashes
