,timestamp,pilot,brackets,module_or_ammo,amount
2192,2023-02-04 13:25:02,Hollindustries,Basilisk -BUH-,Large Radiative Scoped Remote Capacitor Transmitter,0
2194,2023-02-04 13:25:06,Hollindustries,Basilisk -BUH-,Large Radiative Scoped Remote Capacitor Transmitter,0
2195,2023-02-04 13:25:07,Hollindustries,Basilisk -BUH-,Large Radiative Scoped Remote Capacitor Transmitter,0
2197,2023-02-04 13:25:11,Hollindustries,Basilisk -BUH-,Large Radiative Scoped Remote Capacitor Transmitter,0
2198,2023-02-04 13:25:12,Hollindustries,Basilisk -BUH-,Large Radiative Scoped Remote Capacitor Transmitter,0
2201,2023-02-04 13:25:16,Hollindustries,Basilisk -BUH-,Large Radiative Scoped Remote Capacitor Transmitter,0
2202,2023-02-04 13:25:17,Hollindustries,Basilisk -BUH-,Large Radiative Scoped Remote Capacitor Transmitter,0
2203,2023-02-04 13:25:21,Hollindustries,Basilisk -BUH-,Large Radiative Scoped Remote Capacitor Transmitter,0
2204,2023-02-04 13:25:22,Hollindustries,Basilisk -BUH-,Large Radiative Scoped Remote Capacitor Transmitter,0
