,pilot,linetext,timestamp
163,Dravynea Uta,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>40<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C32<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>40<color=0x77ffffff><font size=10> units,2023-02-23 15:22:38
164,Dravynea Uta,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>100<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C28<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:24:19
165,Dravynea Uta,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>40<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C32<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:24:20
168,Dravynea Uta,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>100<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C28<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>100<color=0x77ffffff><font size=10> units,2023-02-23 15:26:01
169,Dravynea Uta,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>40<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C32<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:26:02
170,Dravynea Uta,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>100<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C28<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:27:43
171,Dravynea Uta,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>40<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C32<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:27:44
172,Dravynea Uta,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>100<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C28<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:29:25
173,Dravynea Uta,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>40<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C32<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:29:26
174,Dravynea Uta,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>100<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C28<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:31:07
175,Dravynea Uta,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>40<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C32<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:31:08
176,Dravynea Uta,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>100<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C28<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:32:49
177,Dravynea Uta,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>40<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C32<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:32:50
178,Dravynea Uta,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>55<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C28<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>7<color=0x77ffffff><font size=10> units,2023-02-23 15:33:45
179,Dravynea Uta,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>21<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C32<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:33:45
1223,Hollindustries,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>100<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C28<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:07:20
1224,Hollindustries,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>40<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C32<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:07:21
