,timestamp,pilot,brackets,module_or_ammo,amount
2157,2023-02-04 13:25:02,Oramara Erkkinen,Nestor -BUH- Hollindustries ,Large Radiative Scoped Remote Capacitor Transmitter,0
2159,2023-02-04 13:25:06,Oramara Erkkinen,Nestor -BUH- Hollindustries ,Large Radiative Scoped Remote Capacitor Transmitter,0
2160,2023-02-04 13:25:07,Oramara Erkkinen,Nestor -BUH- Hollindustries ,Large Radiative Scoped Remote Capacitor Transmitter,0
2162,2023-02-04 13:25:11,Oramara Erkkinen,Nestor -BUH- Hollindustries ,Large Radiative Scoped Remote Capacitor Transmitter,0
2163,2023-02-04 13:25:12,Oramara Erkkinen,Nestor -BUH- Hollindustries ,Large Radiative Scoped Remote Capacitor Transmitter,0
2166,2023-02-04 13:25:16,Oramara Erkkinen,Nestor -BUH- Hollindustries ,Large Radiative Scoped Remote Capacitor Transmitter,0
2167,2023-02-04 13:25:17,Oramara Erkkinen,Nestor -BUH- Hollindustries ,Large Radiative Scoped Remote Capacitor Transmitter,0
2169,2023-02-04 13:25:21,Oramara Erkkinen,Nestor -BUH- Hollindustries ,Large Radiative Scoped Remote Capacitor Transmitter,0
2171,2023-02-04 13:25:22,Oramara Erkkinen,Nestor -BUH- Hollindustries ,Large Radiative Scoped Remote Capacitor Transmitter,0
